norm	energy
0.0004475545180778252	0.9505
0.0004975135837254963	0.9595
0.0004182295304192085	0.9685
0.0003908176360840803	0.9775
0.00040740688818918775	0.9865
0.00039371460597393437	0.9955
0.0004364585768015918	1.045
0.0006295716828554458	1.135
0.0006284238268613526	1.225
0.00045783056221542054	1.315
0.0005781641322628475	1.405
0.00054968637164749	1.495
0.0004726980303293883	1.585
0.00047089425662438485	1.675
0.0004715501743352953	1.765
0.0003409952199595154	1.855
0.00034957681001059244	1.945
0.00039472581244492114	2.035
0.00041074113655298203	2.125
0.0004540043755684435	2.215
0.0006462702545790383	2.305
0.0005046466888316463	2.395
0.000309729809072789	2.485
0.0003171362132251516	2.575
0.00028816651432661143	2.665
0.00023337825453236273	2.755
0.000203252500668343	2.845
0.00019801609094290874	2.935
